year,district,crop,season,area,production
2009,Trichy,Groundnut,Rabi,141.27,740.15
2009,Trichy,Groundnut,Rabi,254.99,574.05
2009,Trichy,Bengal Gram,Rabi,115.05,790.24
2009,Trichy,Bengal Gram,Rabi,271.02,565.17
2010,Trichy,Groundnut,Rabi,138.06,715.29
2010,Trichy,Groundnut,Rabi,236.66,767.63
2010,Trichy,Bengal Gram,Rabi,89.22,760.31
2010,Trichy,Bengal Gram,Rabi,208.11,575.1
2011,Trichy,Groundnut,Rabi,182.85,736.49
2011,Trichy,Groundnut,Rabi,141.87,627.19
2011,Trichy,Bengal Gram,Rabi,136.41,736.67
2011,Trichy,Bengal Gram,Rabi,126.07,654.17
2012,Trichy,Groundnut,Rabi,263.81,591.63
2012,Trichy,Groundnut,Rabi,235.68,607.07
2012,Trichy,Bengal Gram,Rabi,115.14,650.31
2012,Trichy,Bengal Gram,Rabi,257.53,657.2
2013,Trichy,Groundnut,Rabi,152.53,629.98
2013,Trichy,Groundnut,Rabi,227.11,603.27
2013,Trichy,Bengal Gram,Rabi,152.69,781.64
2013,Trichy,Bengal Gram,Rabi,238.02,730.66
2014,Trichy,Groundnut,Rabi,154.79,738.7
2014,Trichy,Groundnut,Rabi,216.3,777.92
2014,Trichy,Bengal Gram,Rabi,218.77,735.32
2014,Trichy,Bengal Gram,Rabi,194.97,755.69
2015,Trichy,Groundnut,Rabi,173.93,732.04
2015,Trichy,Groundnut,Rabi,127.02,564.39
2015,Trichy,Bengal Gram,Rabi,140.78,606.12
2015,Trichy,Bengal Gram,Rabi,236.03,624.92
2016,Trichy,Groundnut,Rabi,186.66,690.72
2016,Trichy,Groundnut,Rabi,195.61,623.61
2016,Trichy,Bengal Gram,Rabi,227.33,628.93
2016,Trichy,Bengal Gram,Rabi,207.69,585.23
2017,Trichy,Groundnut,Rabi,205.64,680.27
2017,Trichy,Groundnut,Rabi,256.93,739.36
2017,Trichy,Bengal Gram,Rabi,102.99,786.35
2017,Trichy,Bengal Gram,Rabi,140.24,590.04
2018,Trichy,Groundnut,Rabi,92.6,751.2
2018,Trichy,Groundnut,Rabi,247.21,678.86
2018,Trichy,Bengal Gram,Rabi,197.66,777.73
2018,Trichy,Bengal Gram,Rabi,185.99,611.52
2019,Trichy,Groundnut,Rabi,134.35,628.72
2019,Trichy,Groundnut,Rabi,136,742.89
2019,Trichy,Bengal Gram,Rabi,134.57,642.04
2019,Trichy,Bengal Gram,Rabi,230.97,561.92
2020,Trichy,Groundnut,Rabi,155.76,618.39
2020,Trichy,Groundnut,Rabi,186.56,620.31
2020,Trichy,Bengal Gram,Rabi,255.48,737.45
2020,Trichy,Bengal Gram,Rabi,177.82,779.89
2021,Trichy,Groundnut,Rabi,214.58,695.77
2021,Trichy,Groundnut,Rabi,239.56,568.88
2021,Trichy,Bengal Gram,Rabi,231.57,762.06
2021,Trichy,Bengal Gram,Rabi,92.21,710.51
2009,Trichy,Groundnut,Rabi,141.45,563.59
2009,Trichy,Groundnut,Rabi,121.27,692.84
2009,Trichy,Bengal Gram,Rabi,161.02,676.79
2009,Trichy,Bengal Gram,Rabi,149.36,602.27
2010,Trichy,Groundnut,Rabi,132.68,676.2
2010,Trichy,Groundnut,Rabi,197.45,577.36
2010,Trichy,Bengal Gram,Rabi,258.31,647.3
2010,Trichy,Bengal Gram,Rabi,141.54,586.68
2011,Trichy,Groundnut,Rabi,254.01,609.93
2011,Trichy,Groundnut,Rabi,139.09,754.79
2011,Trichy,Bengal Gram,Rabi,259.12,714.4
2011,Trichy,Bengal Gram,Rabi,122.71,684.89
2012,Trichy,Groundnut,Rabi,89.39,649.18
2012,Trichy,Groundnut,Rabi,207.78,664.72
2012,Trichy,Bengal Gram,Rabi,119.03,655.52
2012,Trichy,Bengal Gram,Rabi,91.08,717.21
2013,Trichy,Groundnut,Rabi,156.39,562.78
2013,Trichy,Groundnut,Rabi,132.11,718.01
2013,Trichy,Bengal Gram,Rabi,157.37,596.81
2013,Trichy,Bengal Gram,Rabi,242.03,769.22
2014,Trichy,Groundnut,Rabi,242.37,646.88
2014,Trichy,Groundnut,Rabi,186.51,641.08
2014,Trichy,Bengal Gram,Rabi,149.4,585.67
2014,Trichy,Bengal Gram,Rabi,161.35,732.45
2015,Trichy,Groundnut,Rabi,94.14,688.94
2015,Trichy,Groundnut,Rabi,107.69,776.91
2015,Trichy,Bengal Gram,Rabi,93.16,752.59
2015,Trichy,Bengal Gram,Rabi,85.97,676.4
2016,Trichy,Groundnut,Rabi,215.06,618.44
2016,Trichy,Groundnut,Rabi,225.93,563.64
2016,Trichy,Bengal Gram,Rabi,191.96,752.07
2016,Trichy,Bengal Gram,Rabi,166.72,719.65
2017,Trichy,Groundnut,Rabi,163.18,666.52
2017,Trichy,Groundnut,Rabi,206.27,771.13
2017,Trichy,Bengal Gram,Rabi,135.3,564.79
2017,Trichy,Bengal Gram,Rabi,97.79,655.52
2018,Trichy,Groundnut,Rabi,263.79,613.49
2018,Trichy,Groundnut,Rabi,170.89,592.41
2018,Trichy,Bengal Gram,Rabi,269.62,658.27
2018,Trichy,Bengal Gram,Rabi,198.46,647.54
2019,Trichy,Groundnut,Rabi,140.35,670.78
2019,Trichy,Groundnut,Rabi,150.59,707.02
2019,Trichy,Bengal Gram,Rabi,245.59,563.81
2019,Trichy,Bengal Gram,Rabi,103.11,626.87
2020,Trichy,Groundnut,Rabi,112.97,623.26
2020,Trichy,Groundnut,Rabi,258.08,775.31
2020,Trichy,Bengal Gram,Rabi,133.92,599.46
2020,Trichy,Bengal Gram,Rabi,245.96,557.03
2021,Trichy,Groundnut,Rabi,262.83,583.12
2021,Trichy,Groundnut,Rabi,102.46,708.44
2021,Trichy,Bengal Gram,Rabi,111.12,648.02
2021,Trichy,Bengal Gram,Rabi,177.84,649.77
2009,Kanchipuram,Groundnut,Kharif,292.9,218.65
2009,Kanchipuram,Groundnut,Kharif,324.61,398.76
2009,Kanchipuram,Bengal Gram,Kharif,299.03,368.42
2009,Kanchipuram,Bengal Gram,Kharif,265.17,281.88
2010,Kanchipuram,Groundnut,Kharif,299.78,457.01
2010,Kanchipuram,Groundnut,Kharif,222.2,415.78
2010,Kanchipuram,Bengal Gram,Kharif,287.47,276.56
2010,Kanchipuram,Bengal Gram,Kharif,179.44,298.06
2011,Kanchipuram,Groundnut,Kharif,331.2,529.63
2011,Kanchipuram,Groundnut,Kharif,300.02,287.62
2011,Kanchipuram,Bengal Gram,Kharif,238.66,268.63
2011,Kanchipuram,Bengal Gram,Kharif,188.48,330.44
2012,Kanchipuram,Groundnut,Kharif,249.32,471.12
2012,Kanchipuram,Groundnut,Kharif,341.01,398.59
2012,Kanchipuram,Bengal Gram,Kharif,235.39,397.07
2012,Kanchipuram,Bengal Gram,Kharif,183.17,455.27
2013,Kanchipuram,Groundnut,Kharif,229.06,341.59
2013,Kanchipuram,Groundnut,Kharif,296.78,546.77
2013,Kanchipuram,Bengal Gram,Kharif,278.21,580.3
2013,Kanchipuram,Bengal Gram,Kharif,239.11,336.91
2014,Kanchipuram,Groundnut,Kharif,162.29,543.44
2014,Kanchipuram,Groundnut,Kharif,314.8,477.46
2014,Kanchipuram,Bengal Gram,Kharif,192.7,584.16
2014,Kanchipuram,Bengal Gram,Kharif,171.3,337.15
2015,Kanchipuram,Groundnut,Kharif,230.38,285.39
2015,Kanchipuram,Groundnut,Kharif,322.32,239.36
2015,Kanchipuram,Bengal Gram,Kharif,195.73,310.71
2015,Kanchipuram,Bengal Gram,Kharif,330.45,547.63
2016,Kanchipuram,Groundnut,Kharif,366.36,349.24
2016,Kanchipuram,Groundnut,Kharif,323.06,266.77
2016,Kanchipuram,Bengal Gram,Kharif,180.44,493.44
2016,Kanchipuram,Bengal Gram,Kharif,274.52,417.12
2017,Kanchipuram,Groundnut,Kharif,187.23,392.5
2017,Kanchipuram,Groundnut,Kharif,227.25,277.35
2017,Kanchipuram,Bengal Gram,Kharif,319.18,550.28
2017,Kanchipuram,Bengal Gram,Kharif,323.87,468.53
2018,Kanchipuram,Groundnut,Kharif,284.78,577.06
2018,Kanchipuram,Groundnut,Kharif,184,308.19
2018,Kanchipuram,Bengal Gram,Kharif,280.46,465.25
2018,Kanchipuram,Bengal Gram,Kharif,302.64,448.96
2019,Kanchipuram,Groundnut,Kharif,187.32,358.95
2019,Kanchipuram,Groundnut,Kharif,195.73,536.08
2019,Kanchipuram,Bengal Gram,Kharif,158.64,408.35
2019,Kanchipuram,Bengal Gram,Kharif,364.27,423.95
2020,Kanchipuram,Groundnut,Kharif,350.46,397.62
2020,Kanchipuram,Groundnut,Kharif,209.26,279.59
2020,Kanchipuram,Bengal Gram,Kharif,323.95,271.69
2020,Kanchipuram,Bengal Gram,Kharif,324.1,345.24
2021,Kanchipuram,Groundnut,Kharif,242.76,331.94
2021,Kanchipuram,Groundnut,Kharif,189.49,395.61
2021,Kanchipuram,Bengal Gram,Kharif,362.27,535.25
2021,Kanchipuram,Bengal Gram,Kharif,258.99,381.89
2009,Kanchipuram,Groundnut,Kharif,230.07,247.38
2009,Kanchipuram,Groundnut,Kharif,213.25,593.3
2009,Kanchipuram,Bengal Gram,Kharif,251.52,573.33
2009,Kanchipuram,Bengal Gram,Kharif,260.55,370.96
2010,Kanchipuram,Groundnut,Kharif,196.25,464.73
2010,Kanchipuram,Groundnut,Kharif,299.81,216.77
2010,Kanchipuram,Bengal Gram,Kharif,289.16,454.74
2010,Kanchipuram,Bengal Gram,Kharif,343.39,559.87
2011,Kanchipuram,Groundnut,Kharif,181.24,481.75
2011,Kanchipuram,Groundnut,Kharif,206.32,388.66
2011,Kanchipuram,Bengal Gram,Kharif,279.58,370.4
2011,Kanchipuram,Bengal Gram,Kharif,302.37,234.26
2012,Kanchipuram,Groundnut,Kharif,355.68,436.78
2012,Kanchipuram,Groundnut,Kharif,345.5,579.01
2012,Kanchipuram,Bengal Gram,Kharif,336.69,507.71
2012,Kanchipuram,Bengal Gram,Kharif,275.26,435.81
2013,Kanchipuram,Groundnut,Kharif,185.33,437.4
2013,Kanchipuram,Groundnut,Kharif,319.89,274.03
2013,Kanchipuram,Bengal Gram,Kharif,243.71,542
2013,Kanchipuram,Bengal Gram,Kharif,302.08,299.46
2014,Kanchipuram,Groundnut,Kharif,188.81,357.93
2014,Kanchipuram,Groundnut,Kharif,205.94,382.56
2014,Kanchipuram,Bengal Gram,Kharif,209.95,349.32
2014,Kanchipuram,Bengal Gram,Kharif,168.3,476.47
2015,Kanchipuram,Groundnut,Kharif,222.72,424.93
2015,Kanchipuram,Groundnut,Kharif,305.9,326.91
2015,Kanchipuram,Bengal Gram,Kharif,169.94,487.22
2015,Kanchipuram,Bengal Gram,Kharif,329.37,315.47
2016,Kanchipuram,Groundnut,Kharif,274.62,293.22
2016,Kanchipuram,Groundnut,Kharif,159.14,331.86
2016,Kanchipuram,Bengal Gram,Kharif,291.66,586.08
2016,Kanchipuram,Bengal Gram,Kharif,236.74,553.63
2017,Kanchipuram,Groundnut,Kharif,360.84,428.92
2017,Kanchipuram,Groundnut,Kharif,320.43,576.92
2017,Kanchipuram,Bengal Gram,Kharif,308.25,415.9
2017,Kanchipuram,Bengal Gram,Kharif,322.46,421.79
2018,Kanchipuram,Groundnut,Kharif,331.79,213.97
2018,Kanchipuram,Groundnut,Kharif,291.66,477.62
2018,Kanchipuram,Bengal Gram,Kharif,300.95,532.33
2018,Kanchipuram,Bengal Gram,Kharif,342.37,479.91
2019,Kanchipuram,Groundnut,Kharif,308.7,271.01
2019,Kanchipuram,Groundnut,Kharif,294.29,414.51
2019,Kanchipuram,Bengal Gram,Kharif,313.81,577.12
2019,Kanchipuram,Bengal Gram,Kharif,223.01,529.07
2020,Kanchipuram,Groundnut,Kharif,186.81,239.39
2020,Kanchipuram,Groundnut,Kharif,278.5,358.05
2020,Kanchipuram,Bengal Gram,Kharif,333.89,348.25
2020,Kanchipuram,Bengal Gram,Kharif,245.98,410.33
2021,Kanchipuram,Groundnut,Kharif,218.47,320.46
2021,Kanchipuram,Groundnut,Kharif,307.53,582.51
2021,Kanchipuram,Bengal Gram,Kharif,259.89,370.33
2021,Kanchipuram,Bengal Gram,Kharif,262.42,309.72
2009,Thirunelveli,Groundnut,Kharif,68.43,192.58
2009,Thirunelveli,Groundnut,Kharif,137.78,319.44
2009,Thirunelveli,Bengal Gram,Kharif,79.88,344.88
2009,Thirunelveli,Bengal Gram,Kharif,111.83,356.18
2010,Thirunelveli,Groundnut,Kharif,164.44,252.18
2010,Thirunelveli,Groundnut,Kharif,142.17,228.05
2010,Thirunelveli,Bengal Gram,Kharif,159.42,318.93
2010,Thirunelveli,Bengal Gram,Kharif,52.87,344
2011,Thirunelveli,Groundnut,Kharif,100.89,186.51
2011,Thirunelveli,Groundnut,Kharif,153.07,350.11
2011,Thirunelveli,Bengal Gram,Kharif,152.56,329.37
2011,Thirunelveli,Bengal Gram,Kharif,63.51,229.47
2012,Thirunelveli,Groundnut,Kharif,138.86,303.13
2012,Thirunelveli,Groundnut,Kharif,154.83,269.93
2012,Thirunelveli,Bengal Gram,Kharif,117.81,329.57
2012,Thirunelveli,Bengal Gram,Kharif,99.53,293.49
2013,Thirunelveli,Groundnut,Kharif,83.45,312.74
2013,Thirunelveli,Groundnut,Kharif,110.03,370.82
2013,Thirunelveli,Bengal Gram,Kharif,99.92,287.83
2013,Thirunelveli,Bengal Gram,Kharif,107.62,313.86
2014,Thirunelveli,Groundnut,Kharif,92.47,229.7
2014,Thirunelveli,Groundnut,Kharif,63.43,261.11
2014,Thirunelveli,Bengal Gram,Kharif,89.43,302.8
2014,Thirunelveli,Bengal Gram,Kharif,102.38,191.44
2015,Thirunelveli,Groundnut,Kharif,123.83,277.16
2015,Thirunelveli,Groundnut,Kharif,63.94,266
2015,Thirunelveli,Bengal Gram,Kharif,76.33,180.94
2015,Thirunelveli,Bengal Gram,Kharif,99.74,253.31
